,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,OPR_INTERVAL,GROUP
65,2024-01-01T09:30:00-00:00,2024-01-01T09:45:00-00:00,2024-01-01,2,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,38.81882,3,5
66,2024-01-01T10:30:00-00:00,2024-01-01T10:45:00-00:00,2024-01-01,3,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,38.77171,3,5
67,2024-01-01T11:30:00-00:00,2024-01-01T11:45:00-00:00,2024-01-01,4,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,44.17312,3,5
68,2024-01-01T12:30:00-00:00,2024-01-01T12:45:00-00:00,2024-01-01,5,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,46.22856,3,5
69,2024-01-01T13:30:00-00:00,2024-01-01T13:45:00-00:00,2024-01-01,6,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,46.8629,3,5
70,2024-01-01T14:30:00-00:00,2024-01-01T14:45:00-00:00,2024-01-01,7,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,46.24166,3,5
71,2024-01-01T15:30:00-00:00,2024-01-01T15:45:00-00:00,2024-01-01,8,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,35.71737,3,5
72,2024-01-01T16:30:00-00:00,2024-01-01T16:45:00-00:00,2024-01-01,9,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,23.77784,3,5
73,2024-01-01T17:30:00-00:00,2024-01-01T17:45:00-00:00,2024-01-01,10,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,22.15744,3,5
74,2024-01-01T18:30:00-00:00,2024-01-01T18:45:00-00:00,2024-01-01,11,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,24.67925,3,5
75,2024-01-01T19:30:00-00:00,2024-01-01T19:45:00-00:00,2024-01-01,12,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,24.13314,3,5
76,2024-01-01T20:30:00-00:00,2024-01-01T20:45:00-00:00,2024-01-01,13,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,15.59311,3,5
77,2024-01-01T21:30:00-00:00,2024-01-01T21:45:00-00:00,2024-01-01,14,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,12.4395,3,5
78,2024-01-01T22:30:00-00:00,2024-01-01T22:45:00-00:00,2024-01-01,15,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,16.76948,3,5
